# Curated job postings (synthetic, modelled on typical Indian entry-level tech hiring; company names are fictional).
# Format: Title | Company | City | Mode | exp min-max (years) | Degrees | Domain | Salary LPA | Required (Skill:level;...) | Preferred (Skill:level;...) | Summary
# level: s = strong/advanced, m = intermediate/working, b = basic/familiar.   The build script turns each row into a free-text job description
# (with wording variations such as "RESTful services" or "JS"); the app then PARSES that text with the Job Parsing Agent.

Software Engineer Intern | Nimbus Labs | Bengaluru | Hybrid | 0-1 | B.Tech, B.E. | Software Engineering | 5 | Java:m; DSA:m; SQL:m; Git:m | Spring Boot:b; Docker:b | Join our platform team to build and ship internal tools used by hundreds of engineers.
Backend Developer Intern | Sahyadri Software | Pune | On-site | 0-1 | B.Tech, B.E., BCA, MCA | Backend | 4.5 | Java:m; Spring Boot:m; SQL:m; REST API:m; Git:b | Docker:b; Hibernate/JPA:b; Unit Testing:b | Work with senior engineers to build REST services for a logistics platform.
Backend Developer (Java) | Quantix Systems | Hyderabad | Hybrid | 1-3 | B.Tech, B.E., MCA | Backend | 9 | Java:s; Spring Boot:s; REST API:s; SQL:m; Hibernate/JPA:m; Git:m | Docker:m; Microservices:b; AWS:b; Message Queues:b | Own backend modules of a payments product serving millions of transactions.
Python Backend Developer | BlueOrbit Tech | Chennai | Hybrid | 0-2 | B.Tech, B.E., B.Sc, MCA | Backend | 7 | Python:s; Django:m; REST API:m; PostgreSQL:m; Git:m | Docker:b; Redis:b; CI/CD:b | Build APIs and admin tooling for a healthcare scheduling product.
API Engineer (FastAPI) | Zenith Data Co. | Remote | Remote | 0-2 | B.Tech, B.E., MCA | Backend | 8 | Python:m; FastAPI:m; REST API:m; SQL:m; Docker:b | AWS:b; Redis:b; Unit Testing:b | Ship data-serving APIs that power analytics dashboards.
Node.js Backend Developer | Pixelforge Studio | Bengaluru | Hybrid | 0-2 | B.Tech, B.E., BCA | Backend | 7 | JavaScript:s; Node.js:m; Express.js:m; MongoDB:m; REST API:m; Git:m | Docker:b; TypeScript:b; Redis:b | Build fast APIs for a consumer gaming community.
Frontend Developer Intern | Kiwi Analytics | Remote | Remote | 0-1 | B.Tech, B.E., BCA, B.Sc | Frontend | 3.6 | HTML/CSS:m; JavaScript:m; React:b; Git:b | Bootstrap/Tailwind:b; TypeScript:b | Turn design mockups into responsive interfaces for our analytics product.
Frontend Developer (React) | Mango Cloudworks | Hyderabad | Hybrid | 1-3 | B.Tech, B.E., MCA | Frontend | 10 | React:s; JavaScript:s; HTML/CSS:s; Git:m; REST API:m | TypeScript:m; Redux:b; Next.js:b; Unit Testing:b | Own customer-facing web experiences for a SaaS billing platform.
Angular Developer | Ratnam Digital | Chennai | On-site | 1-3 | B.Tech, B.E., MCA | Frontend | 8 | Angular:m; TypeScript:m; HTML/CSS:m; REST API:m; Git:m | Unit Testing:b; CI/CD:b | Maintain and extend enterprise dashboards for banking clients.
Full Stack Developer (MERN) | Orchid Technologies | Pune | Hybrid | 0-2 | B.Tech, B.E., BCA, MCA | Full Stack | 8 | JavaScript:s; React:m; Node.js:m; Express.js:m; MongoDB:m; Git:m | TypeScript:b; Docker:b; AWS:b | Deliver features end to end for an e-commerce marketplace.
Full Stack Developer (Java + React) | Lotus Logic | Bengaluru | Hybrid | 1-3 | B.Tech, B.E., MCA | Full Stack | 10 | Java:m; Spring Boot:m; React:m; SQL:m; REST API:m; HTML/CSS:m | Docker:b; CI/CD:b; Microservices:b | Work across the stack for a retail inventory platform.
